concept_id,code,source,datatype,amrs_id,amrs_datatype
1,1,AMPATH,N/A,1,N/A
2,2,AMPATH,N/A,2,N/A
12,12,AMPATH,Coded,12,Coded
21,21,AMPATH,Numeric,21,Numeric
32,32,AMPATH,Coded,32,Coded
42,42,AMPATH,Boolean,42,N/A
56,56,AMPATH,Text,56,Coded
100,100,AMPATH,N/A,100,N/A
102,102,AMPATH,N/A,102,N/A
105,105,AMPATH,N/A,105,N/A
106,106,AMPATH,N/A,106,N/A
109,109,CIEL,N/A,109,N/A
112,112,CIEL,N/A,112,N/A
120,120,CIEL,N/A,120,N/A
134,134,AMPATH,N/A,134,N/A
141,141,CIEL,N/A,141,N/A
151,151,AMPATH,N/A,151,N/A
171,171,AMPATH,N/A,171,N/A
190,190,AMPATH,N/A,190,N/A
241,241,CIEL,N/A,241,N/A
279,278,AMPATH,N/A,278,N/A
294,294,AMPATH,N/A,294,N/A
298,297,AMPATH,N/A,297,N/A
299,299,AMPATH,Coded,299,Coded
300,300,AMPATH,Coded,300,Coded
302,302,AMPATH,Coded,302,N/A
304,304,AMPATH,Coded,304,Coded
307,2310,AMPATH,Coded,2310,N/A
351,351,AMPATH,N/A,351,N/A
374,374,AMPATH,Coded,374,Coded
431,431,CIEL,N/A,431,N/A
450,267,AMPATH,N/A,267,N/A
460,460,AMPATH,Coded,460,N/A
461,461,AMPATH,N/A,461,N/A
493,493,CIEL,N/A,493,N/A
507,507,CIEL,N/A,507,N/A
512,512,AMPATH,Coded,512,N/A
630,630,AMPATH,N/A,630,N/A
654,654,AMPATH,Numeric,654,Numeric
664,664,AMPATH,N/A,664,N/A
690,690,AMPATH,N/A,690,N/A
694,694,AMPATH,N/A,694,N/A
699,699,AMPATH,N/A,699,N/A
703,703,AMPATH,N/A,703,N/A
730,730,AMPATH,Numeric,730,Numeric
767,767,AMPATH,N/A,767,N/A
768,768,AMPATH,N/A,768,N/A
773,773,CIEL,N/A,773,N/A
780,13,AMPATH,N/A,13,N/A
790,790,AMPATH,Numeric,790,Numeric
792,792,AMPATH,N/A,792,N/A
794,793,AMPATH,N/A,793,N/A
798,328,AMPATH,N/A,328,N/A
817,817,AMPATH,N/A,817,N/A
819,819,AMPATH,N/A,819,N/A
820,820,AMPATH,N/A,820,N/A
822,822,AMPATH,N/A,822,N/A
823,5049,AMPATH,N/A,5049,N/A
832,832,AMPATH,Boolean,832,N/A
843,843,AMPATH,N/A,843,N/A
844,844,AMPATH,Coded,844,Coded
856,856,AMPATH,Numeric,856,Numeric
857,857,AMPATH,Numeric,857,Numeric
871,871,AMPATH,Coded,871,N/A
879,879,CIEL,N/A,879,N/A
882,5352,AMPATH,N/A,5352,Numeric
902,902,AMPATH,N/A,902,N/A
907,907,AMPATH,N/A,907,N/A
913,354,AMPATH,N/A,354,N/A
917,277,AMPATH,N/A,277,N/A
924,87,AMPATH,N/A,87,N/A
931,2273,AMPATH,N/A,2273,N/A
944,944,CIEL,N/A,944,N/A
951,951,AMPATH,N/A,951,N/A
965,965,AMPATH,Boolean,965,Boolean
966,966,AMPATH,Coded,966,Coded
970,970,AMPATH,N/A,970,N/A
971,971,AMPATH,N/A,971,N/A
972,972,AMPATH,N/A,972,N/A
973,973,AMPATH,N/A,973,N/A
974,974,AMPATH,N/A,974,N/A
975,2042,AMPATH,Boolean,2042,N/A
978,978,AMPATH,N/A,978,N/A
981,981,AMPATH,N/A,981,N/A
984,984,CIEL,Coded,984,Coded
995,995,CIEL,N/A,995,N/A
996,996,AMPATH,N/A,996,N/A
999,999,AMPATH,N/A,999,N/A
1030,1030,AMPATH,Coded,1030,Coded
1048,1048,AMPATH,Boolean,1048,Boolean
1053,1053,AMPATH,Numeric,1053,Numeric
1054,1054,AMPATH,Coded,1054,Coded
1056,1056,AMPATH,N/A,1056,N/A
1057,1057,AMPATH,N/A,1057,N/A
1058,1058,AMPATH,N/A,1058,N/A
1059,1059,AMPATH,N/A,1059,N/A
1060,1060,AMPATH,N/A,1060,N/A
1065,1065,AMPATH,N/A,1065,N/A
1066,1066,AMPATH,N/A,1066,N/A
1067,1067,AMPATH,N/A,1067,N/A
1072,1072,AMPATH,N/A,1072,N/A
1073,1073,AMPATH,N/A,1073,N/A
1074,1074,AMPATH,N/A,1074,N/A
1085,1085,AMPATH,N/A,1085,N/A
1086,1086,AMPATH,Coded,1086,Coded
1088,1088,AMPATH,Coded,1088,Coded
1090,1090,AMPATH,N/A,1090,N/A
1107,1107,AMPATH,N/A,1107,N/A
1109,1109,AMPATH,Coded,1109,Coded
1111,1111,AMPATH,Coded,1111,Coded
1113,1113,AMPATH,Date,1113,Date
1115,1115,AMPATH,N/A,1115,N/A
1116,1116,AMPATH,N/A,1116,N/A
1118,1118,AMPATH,N/A,1118,N/A
1120,1120,AMPATH,Coded,1120,Coded
1123,1123,AMPATH,Coded,1123,Coded
1125,1125,AMPATH,Coded,1125,Coded
1131,1131,AMPATH,N/A,1131,N/A
1148,1148,AMPATH,Coded,1148,Coded
1149,1149,AMPATH,Coded,1149,N/A
1151,1151,AMPATH,Coded,1151,Coded
1154,1154,AMPATH,Boolean,1154,Boolean
1167,1167,AMPATH,N/A,1167,N/A
1169,1169,AMPATH,Coded,1169,N/A
1170,1170,AMPATH,Coded,1170,N/A
1174,1174,AMPATH,Boolean,1174,Boolean
1175,1175,AMPATH,N/A,1175,N/A
1181,1181,AMPATH,Coded,1181,Coded
1185,1185,AMPATH,N/A,1185,N/A
1189,1189,AMPATH,Coded,1189,Coded
1191,1191,AMPATH,Date,1191,Date
1193,1193,AMPATH,Coded,1193,Coded
1204,1204,AMPATH,N/A,1204,N/A
1205,1205,AMPATH,N/A,1205,N/A
1206,1206,AMPATH,N/A,1206,N/A
1207,1207,AMPATH,N/A,1207,N/A
1220,1220,AMPATH,N/A,1220,N/A
1221,1221,AMPATH,N/A,1221,N/A
1222,1222,AMPATH,N/A,1222,N/A
1223,1223,AMPATH,N/A,1223,N/A
1228,1228,AMPATH,N/A,1228,N/A
1229,1229,AMPATH,N/A,1229,N/A
1246,1246,AMPATH,Boolean,1246,Boolean
1249,1249,AMPATH,N/A,1249,N/A
1252,1252,AMPATH,Coded,1252,Coded
1255,1255,AMPATH,Coded,1255,Coded
1256,1256,AMPATH,N/A,1256,N/A
1257,1257,AMPATH,N/A,1257,N/A
1258,1258,AMPATH,N/A,1258,N/A
1259,1259,AMPATH,N/A,1259,N/A
1260,1260,AMPATH,N/A,1260,N/A
1265,1265,AMPATH,Coded,1265,Coded
1266,1266,AMPATH,Coded,1266,Coded
1267,1267,AMPATH,N/A,1267,N/A
1268,1268,AMPATH,Coded,1268,Coded
1271,1271,AMPATH,Coded,1271,Coded
1272,1272,AMPATH,Coded,1272,Coded
1276,1276,AMPATH,Boolean,1276,Boolean
1282,1282,AMPATH,Coded,1282,N/A
1283,1283,AMPATH,N/A,1283,N/A
1284,1284,AMPATH,Coded,1284,N/A
1288,1288,AMPATH,Coded,1288,N/A
1294,1294,CIEL,N/A,1294,N/A
1301,1301,CIEL,N/A,1301,N/A
1302,1302,CIEL,N/A,1302,N/A
1304,1304,AMPATH,N/A,1304,N/A
1305,1305,AMPATH,Coded,1305,Coded
1319,1319,AMPATH,Numeric,1319,Numeric
1343,1343,AMPATH,Numeric,1343,Numeric
1359,1359,CIEL,Boolean,10817,Boolean
1360,1360,CIEL,Boolean,8356,N/A
1362,1362,CIEL,Boolean,2301,N/A
1363,1363,CIEL,Boolean,2074,N/A
1364,1364,CIEL,Boolean,2075,N/A
1379,1379,CIEL,Coded,10024,Coded
1405,1405,CIEL,Boolean,10789,Boolean
1409,1409,CIEL,Numeric,6429,Numeric
1410,1410,CIEL,Date,10958,Date
1418,1418,CIEL,Numeric,10485,Numeric
1425,1425,CIEL,Numeric,7086,Numeric
1427,1427,CIEL,Date,1836,Date
1434,1434,CIEL,Boolean,1484,N/A
1436,1436,CIEL,Coded,2313,Coded
1442,1442,CIEL,N/A,1901,N/A
1443,1443,CIEL,Numeric,10888,Numeric
1444,1444,CIEL,Text,10889,Text
1447,1447,CIEL,N/A,6282,N/A
1459,1459,CIEL,Boolean,10863,Boolean
1472,1472,CIEL,N/A,6700,N/A
1473,1473,CIEL,Text,10869,Text
1489,1489,CIEL,N/A,6701,N/A
1494,1494,CIEL,Boolean,6173,N/A
1498,1498,CIEL,N/A,1743,N/A
1527,1527,CIEL,N/A,1672,N/A
1528,1528,CIEL,N/A,1565,N/A
1534,1534,CIEL,N/A,6226,N/A
1538,1538,CIEL,N/A,1967,N/A
1540,1540,CIEL,N/A,10871,N/A
1542,1542,CIEL,Coded,1972,Coded
1543,1543,CIEL,Date,1570,Date
1560,1560,CIEL,Coded,1675,Coded
1572,1572,CIEL,Coded,6441,Coded
1582,1582,CIEL,N/A,11081,N/A
1587,1587,CIEL,Coded,6228,Coded
1589,1589,CIEL,N/A,6181,N/A
1619,1619,CIEL,Coded,10418,Coded
1638,1638,CIEL,N/A,10969,N/A
1647,1647,CIEL,Numeric,11089,Numeric
1652,1652,CIEL,Boolean,6467,N/A
1658,1658,CIEL,Coded,8288,Coded
1659,1659,CIEL,Coded,8292,Coded
1660,1660,CIEL,Boolean,10678,Boolean
1662,1662,CIEL,Boolean,10767,Boolean
1667,1667,CIEL,Coded,10854,Coded
1691,1691,CIEL,Boolean,2090,Boolean
1712,1605,AMPATH,Coded,1605,Coded
1714,1714,CIEL,Boolean,6215,N/A
1729,1729,CIEL,Coded,7014,Coded
1732,1732,CIEL,Coded,10604,Coded
1733,1733,CIEL,N/A,10491,N/A
1734,1734,CIEL,N/A,8787,N/A
1744,1744,CIEL,N/A,1861,N/A
1754,1754,CIEL,Coded,7043,Coded
1758,1758,CIEL,Coded,10998,Coded
1822,1822,CIEL,N/A,10492,N/A
1823,1823,CIEL,Numeric,7947,Numeric
1855,1855,CIEL,Boolean,9070,Coded
1859,1859,CIEL,Coded,8550,N/A
5021,5021,AMPATH,N/A,5021,N/A
5040,5040,AMPATH,N/A,5040,N/A
5042,2224,AMPATH,N/A,2224,N/A
5085,5085,AMPATH,Numeric,5085,Numeric
5086,5086,AMPATH,Numeric,5086,Numeric
5087,5087,AMPATH,Numeric,5087,Numeric
5088,5088,AMPATH,Numeric,5088,Numeric
5089,5089,AMPATH,Numeric,5089,Numeric
5090,5090,AMPATH,Numeric,5090,Numeric
5092,5092,AMPATH,Numeric,5092,Numeric
5096,5096,AMPATH,Date,5096,Date
5105,5105,AMPATH,N/A,5105,N/A
5209,5209,AMPATH,N/A,5209,N/A
5219,5219,AMPATH,Coded,5219,Coded
5240,5240,AMPATH,Boolean,5240,Boolean
5242,5242,AMPATH,Numeric,5242,Numeric
5244,5244,AMPATH,N/A,5244,N/A
5245,5245,AMPATH,Coded,5245,Coded
5272,44,AMPATH,Coded,44,N/A
5275,5275,AMPATH,N/A,5275,N/A
5277,5277,AMPATH,N/A,5277,N/A
5278,5278,AMPATH,N/A,5278,N/A
5279,5279,AMPATH,N/A,5279,N/A
5303,5054,AMPATH,Coded,5054,Numeric
5333,5333,AMPATH,N/A,5333,N/A
5334,295,AMPATH,N/A,295,N/A
5339,5339,AMPATH,N/A,5339,N/A
5340,5340,AMPATH,N/A,5340,N/A
5355,5355,AMPATH,Boolean,5355,Numeric
5356,5356,AMPATH,Coded,5356,Coded
5424,5424,AMPATH,N/A,5424,N/A
5483,5483,AMPATH,Boolean,5483,Coded
5484,5484,AMPATH,Coded,5484,Coded
5485,5485,AMPATH,N/A,5485,N/A
5486,5486,AMPATH,Numeric,5486,Numeric
5487,2223,AMPATH,Boolean,2223,Coded
5488,1687,AMPATH,Numeric,1687,N/A
5489,5489,AMPATH,N/A,5489,Numeric
5490,5490,AMPATH,N/A,5490,Numeric
5497,5497,AMPATH,Numeric,5497,Numeric
5526,5526,AMPATH,Coded,5526,Coded
5555,5555,AMPATH,N/A,5555,N/A
5576,2198,AMPATH,Boolean,2198,Coded
5596,1854,AMPATH,Date,1854,Date
5599,5599,AMPATH,Datetime,5599,Date
5617,5617,AMPATH,N/A,5617,N/A
5619,5619,AMPATH,Coded,5619,Coded
5622,5622,AMPATH,N/A,5622,N/A
5624,5624,AMPATH,Numeric,5624,Numeric
5629,5629,AMPATH,Boolean,5629,Boolean
5630,5630,AMPATH,Coded,5630,Coded
5632,2056,AMPATH,Coded,2056,Coded
5916,5916,AMPATH,Numeric,5916,Numeric
5978,5978,AMPATH,N/A,5978,N/A
6004,6004,AMPATH,Coded,6004,N/A
6032,6032,AMPATH,Coded,6032,N/A
6042,6042,AMPATH,Coded,6042,Coded
6046,6046,AMPATH,Coded,6046,N/A
6096,6096,AMPATH,Coded,6096,Coded
70056,70056,CIEL,N/A,814,N/A
70116,70116,CIEL,N/A,89,N/A
70245,70245,CIEL,N/A,732,N/A
70439,70439,CIEL,N/A,941,N/A
71160,265,AMPATH,N/A,265,N/A
71647,6159,AMPATH,N/A,6159,N/A
71648,71648,CIEL,N/A,11023,N/A
71780,71780,CIEL,N/A,735,N/A
71916,71916,CIEL,N/A,1240,N/A
72120,72120,CIEL,N/A,786,N/A
72822,2002,RxNORM,N/A,920,N/A
73006,73006,CIEL,N/A,963,N/A
73041,496,AMPATH,N/A,496,N/A
73043,73043,CIEL,N/A,737,N/A
73136,73136,CIEL,N/A,779,N/A
73239,266,AMPATH,N/A,266,N/A
73449,73449,CIEL,N/A,740,N/A
73624,73624,CIEL,N/A,960,N/A
73628,73628,CIEL,N/A,922,N/A
74250,74250,CIEL,N/A,92,N/A
74745,74745,CIEL,N/A,247,N/A
74778,74778,CIEL,N/A,436,N/A
74807,74807,CIEL,N/A,796,N/A
75161,75161,CIEL,N/A,959,N/A
75222,75222,CIEL,N/A,95,N/A
75523,633,AMPATH,N/A,633,N/A
75842,272,AMPATH,N/A,272,N/A
75948,2228,AMPATH,N/A,2228,N/A
76342,2363,AMPATH,N/A,2363,N/A
76464,76464,CIEL,N/A,447,N/A
76488,747,AMPATH,N/A,747,N/A
76552,2281,AMPATH,N/A,2281,N/A
76613,257,AMPATH,N/A,257,N/A
76734,76734,CIEL,N/A,99,N/A
77696,1243,AMPATH,N/A,1243,N/A
77714,290,AMPATH,N/A,290,N/A
77897,77897,CIEL,N/A,912,N/A
78010,78010,CIEL,N/A,263,N/A
78280,2229,AMPATH,N/A,2229,N/A
78476,78476,CIEL,N/A,926,N/A
78643,628,AMPATH,N/A,628,N/A
78873,271,AMPATH,N/A,271,N/A
79037,79037,CIEL,N/A,429,N/A
79040,79040,CIEL,N/A,9026,N/A
79053,79053,CIEL,N/A,957,N/A
79074,2265,AMPATH,N/A,2265,N/A
79250,314,AMPATH,N/A,314,N/A
79413,244,AMPATH,N/A,244,N/A
79723,79723,CIEL,N/A,251,N/A
79755,79755,CIEL,N/A,751,N/A
79782,237,AMPATH,N/A,237,N/A
79831,286,AMPATH,N/A,286,N/A
80487,635,AMPATH,N/A,635,N/A
80586,631,AMPATH,N/A,631,N/A
80637,250,AMPATH,N/A,250,N/A
80792,348,AMPATH,N/A,348,N/A
80945,80945,CIEL,N/A,919,N/A
81041,81041,CIEL,N/A,1244,N/A
81728,81728,CIEL,N/A,7460,N/A
82446,82446,CIEL,N/A,765,N/A
82453,82453,CIEL,N/A,491,N/A
82732,82732,CIEL,N/A,254,N/A
82900,5829,AMPATH,N/A,5829,N/A
82912,82912,CIEL,N/A,766,N/A
82913,82913,CIEL,N/A,10894,N/A
83023,243,AMPATH,N/A,243,N/A
83075,83075,CIEL,N/A,923,N/A
83412,795,AMPATH,N/A,795,N/A
84239,2269,AMPATH,N/A,2269,N/A
84309,625,AMPATH,N/A,625,N/A
84360,438,AMPATH,N/A,438,N/A
84795,802,AMPATH,N/A,802,N/A
84879,84879,CIEL,N/A,10957,N/A
85151,235,AMPATH,N/A,235,N/A
86341,329,AMPATH,N/A,329,N/A
86663,797,AMPATH,N/A,797,N/A
103166,103166,CIEL,N/A,6679,N/A
103659,103659,CIEL,N/A,7309,N/A
104565,104565,CIEL,N/A,10796,N/A
104677,104677,CIEL,Coded,9497,Coded
105281,105281,CIEL,N/A,916,N/A
110834,110834,CIEL,N/A,172,N/A
111525,111525,CIEL,N/A,8139,N/A
111633,111633,CIEL,N/A,55,N/A
111721,111721,CIEL,N/A,10668,N/A
111759,111759,CIEL,N/A,27,N/A
111873,111873,CIEL,N/A,993,N/A
111953,111953,CIEL,N/A,2213,N/A
112141,112141,CIEL,Coded,58,N/A
112171,112171,CIEL,N/A,1457,N/A
112200,112200,CIEL,N/A,9461,N/A
112493,112493,CIEL,N/A,223,N/A
112603,112603,CIEL,Coded,6259,Coded
112721,112721,CIEL,N/A,5170,N/A
112930,112930,CIEL,N/A,1876,N/A
112992,112992,CIEL,N/A,174,N/A
113054,113054,CIEL,Coded,10806,Coded
113116,113116,CIEL,N/A,2092,N/A
113224,113224,CIEL,N/A,880,N/A
113517,113517,CIEL,N/A,219,N/A
113928,113928,CIEL,N/A,6496,N/A
114100,114100,CIEL,N/A,43,N/A
114262,114262,CIEL,N/A,210,N/A
114395,114395,CIEL,N/A,10664,N/A
114399,114399,CIEL,N/A,10659,N/A
114413,114413,CIEL,N/A,6895,N/A
115285,115285,CIEL,N/A,1399,N/A
115753,115753,CIEL,N/A,1460,N/A
115779,115779,CIEL,N/A,1477,N/A
115835,115835,CIEL,N/A,60,N/A
116128,116128,CIEL,N/A,123,N/A
116130,116130,CIEL,N/A,869,N/A
116334,116334,CIEL,N/A,5949,N/A
116558,116558,CIEL,N/A,10810,N/A
